      UTCTime       Week   GPSTime         Latitude        Longitude        H-Ell VelBdyX VelBdyY VelBdyZ AccBdyX AccBdyY AccBdyZ           Roll          Pitch        Heading Q
        (sec)    (weeks)     (sec)       (+/-D M S)       (+/-D M S)          (m)   (m/s)   (m/s)   (m/s) (m/s^2) (m/s^2) (m/s^2)          (deg)          (deg)          (deg)  
1621579368.00 2158.00000 456186.00   22 18 17.11928  114 11 23.97400        2.489   0.262   6.676  -0.036   0.566  -0.072   0.035  -0.3854000609   0.9565358502 122.9455988060 2
1621579369.00 2158.00000 456187.00   22 18 16.99722  114 11 24.16487        2.555   0.163   6.547  -0.044  -0.395   0.061   0.019   0.1313964112   0.6486741678 122.9219642969 2
1621579370.00 2158.00000 456188.00   22 18 16.87743  114 11 24.35083        2.555   0.160   6.551  -0.026  -0.520   0.542  -0.119  -0.2487152493  -0.0200821707 123.5282567766 2
1621579371.00 2158.00000 456189.00   22 18 16.75087  114 11 24.54464        2.509   0.104   6.905  -0.043  -0.981   0.905  -0.600  -0.6931929884   0.0567457400 123.7441300850 2
1621579372.00 2158.00000 456190.00   22 18 16.61700  114 11 24.74948        2.466   0.216   7.373  -0.096  -0.347   0.142   0.443  -0.5723619190   0.4815251902 123.6756215215 2
1621579373.00 2158.00000 456191.00   22 18 16.47539  114 11 24.96951        2.489   0.130   7.872  -0.075   0.388  -0.091  -0.791  -0.2874414667   0.6920929095 123.0973409484 2
1621579374.00 2158.00000 456192.00   22 18 16.32714  114 11 25.20082        2.517   0.208   8.123  -0.037  -0.284  -0.107  -0.556   0.5899746416   0.6884603571 122.7040799066 2
1621579375.00 2158.00000 456193.00   22 18 16.17932  114 11 25.43826        2.531   0.209   8.222  -0.012  -0.613   0.387  -0.630   0.1645362900   0.3629630336 121.9671759679 2
1621579376.00 2158.00000 456194.00   22 18 16.03765  114 11 25.67190        2.507   0.199   7.663  -0.040  -0.883  -1.229  -0.564  -1.3938917240   0.0814230323 121.6466862957 2
1621579377.00 2158.00000 456195.00   22 18 15.90918  114 11 25.88665        2.543   0.195   6.904  -0.008   0.713  -1.083  -0.827  -1.5400417984   0.1749068261 120.7757159626 2
1621579378.00 2158.00000 456196.00   22 18 15.79671  114 11 26.07845        2.556   0.164   6.037   0.011  -0.125  -0.713  -0.117  -1.2700583557  -0.0583041852 120.5362539817 2
1621579379.00 2158.00000 456197.00   22 18 15.70178  114 11 26.24146        2.560   0.149   5.023  -0.018  -0.398  -1.400   0.153  -1.0898459404   0.4734121078 119.9154083740 2
1621579380.00 2158.00000 456198.00   22 18 15.63241  114 11 26.37999        2.587   0.075   4.040  -0.044  -0.695  -0.532  -0.324  -0.4801157140   0.4432172320 112.4332671190 2
1621579381.00 2158.00000 456199.00   22 18 15.60226  114 11 26.51131        2.602  -0.096   3.680  -0.044  -0.956  -0.216   0.084  -0.0576968500   0.6741879784  94.8691656951 2
1621579382.00 2158.00000 456200.00   22 18 15.61446  114 11 26.63476        2.630  -0.172   3.381  -0.003  -0.962  -0.482  -0.104  -0.0967496533   0.3574683684  75.5690136112 2
1621579383.00 2158.00000 456201.00   22 18 15.66425  114 11 26.74637        2.654  -0.092   3.792  -0.020  -1.991   0.534   0.248  -0.1422310431   0.7855709737  56.0947854900 2
1621579384.00 2158.00000 456202.00   22 18 15.75569  114 11 26.84635        2.694   0.001   4.276   0.045   0.679  -0.367  -0.597  -1.8737381478   0.1608464418  39.4462648932 2
1621579385.00 2158.00000 456203.00   22 18 15.87865  114 11 26.93996        2.712   0.015   5.052  -0.044   0.182   1.328   0.112  -1.5738921449   0.4889679119  31.3339903846 2
1621579386.00 2158.00000 456204.00   22 18 16.02878  114 11 27.03858        2.730   0.188   5.759  -0.016   0.066   0.516  -0.385  -1.2004439836   0.8401337446  29.7047906238 2
1621579387.00 2158.00000 456205.00   22 18 16.19531  114 11 27.14921        2.776   0.178   6.282  -0.068   0.750   0.719  -0.019  -0.8281016309   0.5478335958  30.5275981246 2
1621579388.00 2158.00000 456206.00   22 18 16.37385  114 11 27.26982        2.819   0.177   6.700  -0.031  -0.817   0.337   0.345  -1.0538584613   0.6033073695  30.8243444259 2
1621579389.00 2158.00000 456207.00   22 18 16.55850  114 11 27.39559        2.833   0.163   6.676  -0.026  -0.268  -0.129   0.225  -1.3027226796   0.1690798453  31.0470015546 2
1621579390.00 2158.00000 456208.00   22 18 16.73855  114 11 27.52050        2.852   0.173   6.447  -0.047  -0.316  -0.115  -0.030  -1.2992161779   0.6623735886  31.6044092752 2
1621579391.00 2158.00000 456209.00   22 18 16.91214  114 11 27.64304        2.900   0.161   6.273   0.017   1.769  -0.067  -1.445  -1.2929422901  -0.0557086864  32.1333925596 2
1621579392.00 2158.00000 456210.00   22 18 17.07761  114 11 27.76399        2.914   0.141   6.027  -0.008   1.195   0.571  -0.595  -0.6865294893   0.7040218908  33.1900986211 3
1621579393.00 2158.00000 456211.00   22 18 17.23041  114 11 27.88099        2.962   0.043   5.414  -0.044   0.839  -1.060   0.178  -0.6563747205   0.5768768264  34.6203445172 2
1621579394.00 2158.00000 456212.00   22 18 17.36168  114 11 27.98712        2.986   0.142   4.640  -0.061   0.067  -0.043   1.202  -1.2036983839   0.4574896107  36.8750652213 2
1621579395.00 2158.00000 456213.00   22 18 17.46969  114 11 28.08584        3.020   0.167   4.153  -0.005   0.817  -0.560  -0.003  -0.2310910675   0.4454460378  40.1151759303 2
1621579396.00 2158.00000 456214.00   22 18 17.56360  114 11 28.17946        3.069   0.142   3.738   0.008  -0.041  -0.055   0.012   1.5003587415   1.1798175030  40.6099479047 2
1621579397.00 2158.00000 456215.00   22 18 17.65099  114 11 28.25611        3.151   0.060   3.190   0.012  -0.087  -0.975   0.260   1.8016543276   1.4853816247  35.7429464548 2
1621579398.00 2158.00000 456216.00   22 18 17.72971  114 11 28.31292        3.241   0.042   2.661   0.025   0.630  -0.679  -0.599   1.4503624443   1.6396104040  31.9115203830 2
1621579399.00 2158.00000 456217.00   22 18 17.79597  114 11 28.35578        3.317   0.017   2.116   0.008  -0.580  -0.595   0.102   0.6607922251   1.8119561088  29.4977752428 2
1621579400.00 2158.00000 456218.00   22 18 17.85068  114 11 28.38585        3.385  -0.013   1.697  -0.008  -0.400  -0.362   0.122  -0.3379935329   2.1054881168  25.9471729751 2
1621579401.00 2158.00000 456219.00   22 18 17.89530  114 11 28.40780        3.452   0.034   1.221   0.010  -0.121  -0.683  -0.099  -0.9772540041   2.0336277501  24.2297835504 3
1621579402.00 2158.00000 456220.00   22 18 17.92231  114 11 28.42091        3.494   0.005   0.623   0.009   0.116  -0.396   0.018  -1.2947012705   2.1570027522  24.0983470322 3
1621579403.00 2158.00000 456221.00   22 18 17.93328  114 11 28.42584        3.521   0.007   0.122   0.015  -0.205  -0.322   0.014  -1.6124693933   2.2537581350  24.0630241841 3
1621579404.00 2158.00000 456222.00   22 18 17.93405  114 11 28.42601        3.538   0.009   0.015   0.014  -0.360  -0.041   0.006  -1.5900782026   2.2956699978  24.0621647474 3
1621579405.00 2158.00000 456223.00   22 18 17.93448  114 11 28.42607        3.552   0.009   0.016   0.012   0.167  -0.060   0.051  -1.5918772901   2.2965122457  24.0606464093 3
1621579406.00 2158.00000 456224.00   22 18 17.93476  114 11 28.42618        3.565   0.013   0.010   0.012   0.211  -0.073  -0.004  -1.5929086141   2.2954809217  24.0622392319 2
1621579407.00 2158.00000 456225.00   22 18 17.93491  114 11 28.42633        3.574   0.013   0.008   0.006  -0.410  -0.035  -0.013  -1.5916824845   2.2952631977  24.0619069164 2
1621579408.00 2158.00000 456226.00   22 18 17.93498  114 11 28.42649        3.580   0.012   0.007   0.004   0.548  -0.092  -0.072  -1.5910178534   2.2954178963  24.0626746799 2
1621579409.00 2158.00000 456227.00   22 18 17.93758  114 11 28.42804        3.584   0.016   0.273  -0.006  -0.013   0.848   0.028  -1.6617953298   2.4308422008  24.0675161732 2
1621579410.00 2158.00000 456228.00   22 18 17.96164  114 11 28.44012        3.608   0.037   1.391  -0.014   0.146   1.183  -0.109  -2.2186129039   2.5322328122  24.0288701700 2
1621579411.00 2158.00000 456229.00   22 18 18.02122  114 11 28.47013        3.668   0.045   2.666  -0.062  -0.133   1.497  -0.115  -2.9586681104   2.2193520194  23.9636790320 2
1621579412.00 2158.00000 456230.00   22 18 18.11363  114 11 28.51409        3.728   0.030   3.264  -0.041  -1.066   0.051   0.205  -3.1982905195   1.1826135370  21.0756336995 2
1621579413.00 2158.00000 456231.00   22 18 18.21703  114 11 28.54712        3.751  -0.084   3.499  -0.038  -0.429  -0.304  -0.110  -3.4848037945   0.8623988845  11.0145349240 2
1621579414.00 2158.00000 456232.00   22 18 18.33160  114 11 28.55014        3.739  -0.128   3.508  -0.101  -1.454  -0.902  -0.474  -2.5619807809   0.4146438268  -7.0911094304 2
1621579415.00 2158.00000 456233.00   22 18 18.44315  114 11 28.50894        3.686  -0.152   3.669  -0.053  -0.490   0.461   0.202  -1.3101711310  -0.9263524336 -28.4728687502 2
1621579416.00 2158.00000 456234.00   22 18 18.53470  114 11 28.42474        3.582   0.037   4.043   0.038  -0.551   0.871   0.125  -1.3548331911  -0.1398991048 -47.6943136218 2
1621579417.00 2158.00000 456235.00   22 18 18.61651  114 11 28.30373        3.492   0.107   4.544  -0.112   0.120   1.464   0.755  -1.5539532136  -0.6405209783 -57.8108116865 2
1621579418.00 2158.00000 456236.00   22 18 18.70375  114 11 28.15516        3.344  -0.066   5.458  -0.143  -2.015   1.895   0.120  -2.0824953205  -0.2691984905 -58.8210222230 2
1621579419.00 2158.00000 456237.00   22 18 18.80533  114 11 27.98269        3.264   0.114   6.250  -0.078   0.218   0.509   0.019  -1.9730317337   0.3067214965 -59.0743497825 2
1621579420.00 2158.00000 456238.00   22 18 18.91983  114 11 27.78995        3.216   0.246   6.698  -0.080  -0.206   0.414  -0.432  -1.2474551707   0.5491743171 -58.5873929524 2
1621579421.00 2158.00000 456239.00   22 18 19.04358  114 11 27.58835        3.255   0.081   6.933  -0.089   0.088   1.818  -1.163  -1.2624838537   0.2552183203 -57.4264601384 2
1621579422.00 2158.00000 456240.00   22 18 19.17020  114 11 27.38630        3.232   0.081   6.835  -0.054   0.388   0.421  -0.332  -2.4540756394   0.4789640688 -56.5113147592 2
1621579423.00 2158.00000 456241.00   22 18 19.30261  114 11 27.19460        3.237   0.171   6.805  -0.055   0.131   0.669  -0.053  -1.8660948909   0.5705284541 -53.2827606090 2
1621579424.00 2158.00000 456242.00   22 18 19.44796  114 11 27.01602        3.251   0.202   6.689  -0.064   1.391  -0.729   0.129  -1.0060050263   0.2171223565 -47.5117062429 2
1621579425.00 2158.00000 456243.00   22 18 19.60790  114 11 26.85676        3.251   0.201   6.699  -0.070   0.325   0.721   0.172  -0.2192995961   0.8046676571 -41.7589063122 2
1621579426.00 2158.00000 456244.00   22 18 19.78250  114 11 26.71964        3.288   0.189   6.606  -0.053   1.559   0.114   0.280   0.1034360708   0.8856380527 -33.3839077363 2
1621579427.00 2158.00000 456245.00   22 18 19.97517  114 11 26.61690        3.352   0.250   6.705  -0.083   1.078  -0.735   0.263  -0.5511968581   0.9377313754 -23.1965405219 2
1621579428.00 2158.00000 456246.00   22 18 20.18588  114 11 26.54505        3.347   0.177   6.865  -0.082  -0.335   0.724   0.402  -1.0361884429  -0.0041023778 -16.1630481388 2
1621579429.00 2158.00000 456247.00   22 18 20.40337  114 11 26.49145        3.280   0.149   6.866  -0.055  -0.527   0.305  -0.150  -1.8156746049  -0.2033427215 -12.9209893733 2
1621579430.00 2158.00000 456248.00   22 18 20.61883  114 11 26.44280        3.216   0.148   6.720  -0.048   0.391  -0.562  -0.243  -1.9551669097   0.0704222426 -13.4014374028 2
1621579431.00 2158.00000 456249.00   22 18 20.82847  114 11 26.38650        3.204   0.163   6.718  -0.067   0.369   1.632   0.884  -2.1019873447   0.3724798626 -17.0291368715 2
1621579432.00 2158.00000 456250.00   22 18 21.04375  114 11 26.31129        3.170   0.128   7.176  -0.058   0.250   1.658   0.957  -2.3366823167   0.3964867942 -21.1124008125 2
1621579433.00 2158.00000 456251.00   22 18 21.26285  114 11 26.21054        3.189   0.122   7.466  -0.066  -0.230   0.921  -1.890  -2.3918409637   1.0112017535 -27.2881066215 2
1621579434.00 2158.00000 456252.00   22 18 21.46907  114 11 26.08270        3.225   0.138   7.047  -0.069  -2.822  -0.855   0.253  -1.7520132643   0.5956984900 -34.7098237474 2
1621579435.00 2158.00000 456253.00   22 18 21.64321  114 11 25.93869        3.256   0.060   6.361   0.003  -0.891  -1.735  -0.203  -1.5361284966  -0.1864003595 -42.1973336170 2
1621579436.00 2158.00000 456254.00   22 18 21.77673  114 11 25.79623        3.278   0.143   5.290   0.024  -0.320  -0.343  -0.252  -2.1170045685   0.5371994991 -48.4997032057 2
1621579437.00 2158.00000 456255.00   22 18 21.87312  114 11 25.67235        3.311   0.118   3.996  -0.014   0.303  -1.107   0.184  -2.2797188527   0.5950052111 -52.6805590480 2
1621579438.00 2158.00000 456256.00   22 18 21.93924  114 11 25.58104        3.339   0.061   2.597   0.013  -0.046  -1.789  -0.238  -2.0050027787   0.3314618141 -53.7035064363 2
1621579439.00 2158.00000 456257.00   22 18 21.97595  114 11 25.52860        3.354   0.006   1.260   0.007   0.484  -1.122  -0.150  -1.8272082453   0.4260170390 -54.2881984071 2
1621579440.00 2158.00000 456258.00   22 18 21.99092  114 11 25.50655        3.366  -0.000   0.352   0.006   0.400  -0.677   0.054  -1.7010773163   0.4932765546 -54.5236153059 2
1621579441.00 2158.00000 456259.00   22 18 21.99206  114 11 25.50428        3.378  -0.010  -0.011   0.009   0.065   0.070  -0.017  -1.6987969443   0.5762465729 -54.5506703730 2
1621579442.00 2158.00000 456260.00   22 18 21.99174  114 11 25.50423        3.386  -0.006  -0.004   0.006  -0.438  -0.011  -0.003  -1.6936345945   0.5742469502 -54.5486191841 2
1621579443.00 2158.00000 456261.00   22 18 21.99150  114 11 25.50413        3.392  -0.003  -0.001   0.007  -0.172  -0.077   0.030  -1.6936575128   0.5763554349 -54.5481207108 2
1621579444.00 2158.00000 456262.00   22 18 21.99133  114 11 25.50402        3.398  -0.003   0.005   0.005   0.400  -0.025   0.021  -1.6938465889   0.5753011925 -54.5484702151 2
1621579445.00 2158.00000 456263.00   22 18 21.99123  114 11 25.50392        3.402   0.001   0.005   0.004  -0.401   0.049  -0.060  -1.6950268820   0.5767507757 -54.5477826657 2
1621579446.00 2158.00000 456264.00   22 18 21.99121  114 11 25.50378        3.408   0.000   0.006   0.004   0.629   0.067   0.059  -1.6957774567   0.5759486348 -54.5474159728 2
1621579447.00 2158.00000 456265.00   22 18 21.99147  114 11 25.50352        3.413   0.002   0.005   0.002  -0.127   0.082  -0.076  -1.6959779919   0.5759772827 -54.5467456121 2
1621579448.00 2158.00000 456266.00   22 18 21.99172  114 11 25.50330        3.415  -0.001   0.001  -0.000  -0.314   0.089  -0.009  -1.6963446849   0.5752152488 -54.5470091727 2
1621579449.00 2158.00000 456267.00   22 18 21.99188  114 11 25.50324        3.415  -0.001  -0.001   0.000   0.511  -0.029   0.032  -1.6986938118   0.5750261728 -54.5460064966 2
1621579450.00 2158.00000 456268.00   22 18 21.99203  114 11 25.50319        3.414   0.004   0.001  -0.002   0.188  -0.072  -0.032  -1.6982411752   0.5760460376 -54.5458116909 2
1621579451.00 2158.00000 456269.00   22 18 21.99217  114 11 25.50310        3.412   0.004   0.002  -0.008  -0.437   0.033  -0.053  -1.6973416315   0.5743157051 -54.5463502713 2
1621579452.00 2158.00000 456270.00   22 18 21.99241  114 11 25.50289        3.405   0.003   0.002  -0.013  -0.273   0.159   0.009  -1.6974390343   0.5755590235 -54.5452444627 2
1621579453.00 2158.00000 456271.00   22 18 21.99383  114 11 25.50121        3.391   0.009   0.217  -0.017   0.423   0.443   0.087  -1.6837911796   0.6546730359 -54.5741673722 2
1621579454.00 2158.00000 456272.00   22 18 22.00506  114 11 25.48510        3.376   0.026   1.260  -0.030  -0.023   1.653   0.006  -1.6002482035   0.8720818712 -55.3239743204 2
1621579455.00 2158.00000 456273.00   22 18 22.03939  114 11 25.43121        3.361   0.030   2.123  -0.037  -0.511  -0.181   0.175  -1.5739608998   0.5035726061 -57.7210521183 2
1621579456.00 2158.00000 456274.00   22 18 22.07729  114 11 25.36636        3.341   0.019   2.260  -0.066  -0.102   0.395  -0.032  -1.5931721747   0.4105128011 -59.8679077879 2
1621579457.00 2158.00000 456275.00   22 18 22.11700  114 11 25.29441        3.318   0.021   2.688  -0.082   0.204   0.701  -0.049  -2.0141529147   0.8606742815 -60.9639531317 2
1621579458.00 2158.00000 456276.00   22 18 22.16849  114 11 25.19811        3.300  -0.051   3.556  -0.047  -0.408   1.008   0.110  -2.2166419291   0.5295046759 -61.7682827437 2
1621579459.00 2158.00000 456277.00   22 18 22.23135  114 11 25.07213        3.282   0.161   4.525  -0.086  -0.113   2.491   0.664  -2.5671889673   0.9584953659 -64.1053088351 2
1621579460.00 2158.00000 456278.00   22 18 22.30448  114 11 24.92032        3.274   0.107   5.250  -0.076  -0.037   0.238  -0.061  -1.6693755615   0.7686171526 -64.2116669906 2
1621579461.00 2158.00000 456279.00   22 18 22.39243  114 11 24.75137        3.243   0.137   5.794  -0.081   1.260   0.401  -0.659  -1.2204115628   0.3782896547 -61.0372745407 2
1621579462.00 2158.00000 456280.00   22 18 22.49957  114 11 24.57357        3.227   0.165   6.312  -0.046   2.947   4.723  -0.348  -0.3072486176   0.7944231717 -57.6144819684 2
1621579463.00 2158.00000 456281.00   22 18 22.61717  114 11 24.38509        3.250   0.210   6.697  -0.092  -0.309   0.234  -0.190  -0.8462930409   1.2596419830 -57.9453880134 2
1621579464.00 2158.00000 456282.00   22 18 22.74055  114 11 24.18404        3.378   0.218   7.073  -0.075   0.889  -1.012  -0.588  -1.1041813445   2.2002324178 -58.2653677533 2
1621579465.00 2158.00000 456283.00   22 18 22.86959  114 11 23.97375        3.606   0.177   7.313  -0.111   1.100   0.171   0.457  -0.9131973226   3.1474061377 -58.0472541798 2
1621579466.00 2158.00000 456284.00   22 18 23.00393  114 11 23.75938        3.883   0.313   7.352  -0.110   0.694   0.782   1.256  -0.6028948399   2.6987687249 -57.3790879879 2
1621579467.00 2158.00000 456285.00   22 18 23.13700  114 11 23.55099        4.150   0.306   7.051  -0.082  -1.201   1.125   0.153  -0.2404818458   2.7781520275 -57.1827410810 2
1621579468.00 2158.00000 456286.00   22 18 23.26354  114 11 23.35686        4.351   0.174   6.600  -0.053   0.576  -0.499   0.429   0.1383005526   2.2657214938 -56.3300538312 2
1621579469.00 2158.00000 456287.00   22 18 23.38544  114 11 23.17575        4.499   0.171   6.266  -0.121   0.093   0.499   0.767  -0.1374697638   1.7503688754 -55.4017075045 2
1621579470.00 2158.00000 456288.00   22 18 23.50068  114 11 23.00317        4.546   0.085   5.758  -0.031  -0.080  -0.523   0.626   0.5875338414   0.9554873375 -57.8013578829 2
1621579471.00 2158.00000 456289.00   22 18 23.57994  114 11 22.84376        4.547  -0.045   4.643  -0.122  -3.724   0.337  -0.527   0.4537825737   0.6371634457 -69.1689780481 2
1621579472.00 2158.00000 456290.00   22 18 23.60698  114 11 22.69116        4.518   0.028   4.285  -0.038  -2.736  -0.068   1.178  -0.1412283669  -0.0667209352 -89.1713300170 2
1621579473.00 2158.00000 456291.00   22 18 23.57682  114 11 22.55011        4.444  -0.083   4.141  -0.009  -1.762   0.283   0.638   0.7179390356  -0.0925097656 -114.274100712 1
1621579474.00 2158.00000 456292.00   22 18 23.49130  114 11 22.43161        4.400  -0.079   4.641  -0.009  -1.973   2.454   0.142   0.5962198816   0.2838203734 -137.094803427 1
1621579475.00 2158.00000 456293.00   22 18 23.36119  114 11 22.32851        4.351   0.081   5.413  -0.064  -0.224   0.564  -0.089  -0.0961766955   0.0018162762 -147.649900684 1
1621579476.00 2158.00000 456294.00   22 18 23.20243  114 11 22.21664        4.291   0.176   6.269  -0.076   0.056   0.828   0.234  -0.2954342279   0.1308578308 -147.856257163 1
1621579477.00 2158.00000 456295.00   22 18 23.02248  114 11 22.08663        4.238   0.236   7.092  -0.089  -1.300   2.821   0.502  -0.4168669030   0.1214957005 -147.402021953 1
1621579478.00 2158.00000 456296.00   22 18 22.82460  114 11 21.94313        4.206   0.210   7.650  -0.061   0.557  -0.311   0.167  -1.2676920400   0.3911754755 -147.205308353 1
1621579479.00 2158.00000 456297.00   22 18 22.61457  114 11 21.78841        4.169   0.180   8.009  -0.090  -0.775   0.163  -0.088  -1.0620861353   0.2205944807 -146.991537800 1
1621579480.00 2158.00000 456298.00   22 18 22.39870  114 11 21.63056        4.120   0.208   7.985  -0.079  -0.339   0.205   0.614  -1.3570906448   0.2919277262 -147.462171062 1
1621579481.00 2158.00000 456299.00   22 18 22.18717  114 11 21.48099        4.109   0.129   7.576  -0.068   1.487  -1.727  -0.291  -1.1891051489   0.5079328150 -148.618474377 1
1621579482.00 2158.00000 456300.00   22 18 21.98377  114 11 21.34553        4.063   0.150   7.095  -0.066   0.347  -0.296   0.236  -1.4525626022   0.2506117396 -150.756569522 2
1621579483.00 2158.00000 456301.00   22 18 21.78935  114 11 21.22861        4.044   0.171   6.732  -0.016  -0.072   0.267  -0.882  -1.0172407286   0.1319980168 -153.501810854 2
1621579484.00 2158.00000 456302.00   22 18 21.59696  114 11 21.12421        3.993   0.073   6.489  -0.098   1.544   0.853   0.132  -0.7802653846   0.7009909440 -155.374345790 2
1621579485.00 2158.00000 456303.00   22 18 21.40876  114 11 21.02260        3.944   0.179   6.351  -0.082   0.740   0.263   0.501  -0.6578414925  -0.1786883476 -153.732770141 2
1621579486.00 2158.00000 456304.00   22 18 21.23182  114 11 20.91357        3.906   0.160   6.220  -0.006   0.662  -1.849  -0.139  -0.9682012709  -0.2167900409 -150.148655572 2
1621579487.00 2158.00000 456305.00   22 18 21.06922  114 11 20.80261        3.864   0.166   5.703  -0.022   0.058  -1.418   0.086  -1.4246137210  -0.2960301040 -148.286571386 1
1621579488.00 2158.00000 456306.00   22 18 20.91996  114 11 20.69484        3.822   0.142   5.361   0.002  -0.090  -0.684   0.004  -1.7221965406  -0.1850367199 -147.303759691 2
1621579489.00 2158.00000 456307.00   22 18 20.78108  114 11 20.59242        3.764   0.138   4.956  -0.001   0.339  -1.404   0.538  -1.4484888723  -0.7599826786 -147.005048144 2
1621579490.00 2158.00000 456308.00   22 18 20.65557  114 11 20.49908        3.707   0.135   4.366  -0.045  -0.009  -0.777   0.065  -1.3136260665  -0.2809498548 -147.001432781 2
1621579491.00 2158.00000 456309.00   22 18 20.54667  114 11 20.41877        3.656   0.103   3.814  -0.023   0.555  -1.510   0.538  -1.5270070085  -0.4796286999 -147.131843704 2
1621579492.00 2158.00000 456310.00   22 18 20.44772  114 11 20.34567        3.598   0.105   3.766   0.004   1.276   0.790   0.685  -1.8384554068  -0.5111012716 -147.011276196 2
1621579493.00 2158.00000 456311.00   22 18 20.33787  114 11 20.26306        3.540   0.142   4.565  -0.052   0.314   0.326   0.337  -1.7791313567  -0.2206689652 -146.608177468 2
1621579494.00 2158.00000 456312.00   22 18 20.20836  114 11 20.16430        3.466   0.110   5.076  -0.127  -1.100   0.794   0.292  -1.5242396224  -0.2307816703 -146.493780715 2
1621579495.00 2158.00000 456313.00   22 18 20.07101  114 11 20.06485        3.377   0.145   5.019  -0.040   0.100  -0.119  -0.144  -0.9456152747  -0.3241164951 -149.705982650 2
1621579496.00 2158.00000 456314.00   22 18 19.92528  114 11 19.98684        3.294  -0.066   4.893  -0.074  -1.607   0.347  -0.324  -0.7726851529  -0.2839693424 -160.573800271 2
1621579497.00 2158.00000 456315.00   22 18 19.76866  114 11 19.96373        3.235  -0.137   4.949  -0.036  -3.614   0.825   0.007   0.2781767391  -0.5628393605 175.3750930664 2
1621579498.00 2158.00000 456316.00   22 18 19.61520  114 11 20.02623        3.127  -0.093   5.325  -0.067  -1.676   0.694   0.186   1.4718426320  -0.3732075190 146.7569398194 2
1621579499.00 2158.00000 456317.00   22 18 19.48469  114 11 20.15856        3.032   0.013   5.685  -0.047  -0.835   0.957   0.248   0.5251731150   0.0206322102 129.8942361397 2
1621579500.00 2158.00000 456318.00   22 18 19.37055  114 11 20.32161        2.981   0.215   5.913  -0.101  -0.432  -0.084  -0.261  -0.4036544962  -0.0421926120 124.2752791499 2
1621579501.00 2158.00000 456319.00   22 18 19.25819  114 11 20.49299        2.945   0.110   6.060  -0.048  -0.502   0.189  -0.038  -0.1842632269   0.2169791170 123.5282510470 2
1621579502.00 2158.00000 456320.00   22 18 19.14772  114 11 20.66399        2.927   0.139   5.886  -0.047  -0.013   0.171  -0.460  -0.4294605153   0.1928232164 123.5652698501 2
1621579503.00 2158.00000 456321.00   22 18 19.03727  114 11 20.83089        2.896   0.158   5.890  -0.054   0.381   0.095   0.229  -0.6967166789   0.4521267257 124.4234345765 2
1621579504.00 2158.00000 456322.00   22 18 18.92226  114 11 20.99737        2.918   0.158   6.036  -0.025  -0.588   0.814   0.215   0.2881118273   0.3313243042 125.2861829653 2
1621579505.00 2158.00000 456323.00   22 18 18.80336  114 11 21.16976        2.902   0.116   6.222  -0.032  -0.836  -1.220   0.238   0.2248630163   0.4363818455 124.4788739728 2
